trainstop_id,stop_id
37340,22334
37340,21635
37342,37342
37342,25352
37342,25353
37342,23972
37344,970
37344,24784
37344,24053
37344,24054
37344,24056
37344,24057
37344,37344
37344,23975
37344,23980
37344,33940
37344,33941
37346,24083
37346,42440
37346,759
37346,42333
37346,22817
37346,24086
37346,25362
37346,37346
37346,13386
37346,13387
37346,13382
37346,42322
37348,24763
37348,13429
37348,13428
37348,37348
37348,13170
37350,13056
37350,13320
37350,13103
37350,38936
37350,37350
37350,13204
37350,13113
37350,12932
37350,12824
37350,12827
37350,12823
37350,13646
37352,37352
37352,23350
37352,41462
37352,41463
37352,16484
37354,37354
37354,23299
37354,23298
37354,40885
37356,13053
37356,40776
37356,40775
37356,37356
37356,13088
37356,13090
37358,12833
37358,12832
37358,29678
37358,41426
37358,41427
37358,14538
37358,14536
37358,14537
37358,13271
37358,14339
37358,12889
37358,13915
37358,38943
37358,38946
37358,42707
37358,29325
37358,29480
37358,13354
37358,13729
37358,41391
37358,12890
37358,29309
37358,37358
37358,13125
37358,37528
37358,42235
37358,29311
37358,38942
37358,13916
37360,39045
37360,13221
37360,37360
37360,13948
37360,13949
37360,13946
37360,13950
37360,12936
37360,12944
37362,37362
37362,14363
37362,40795
37362,40799
37362,38955
37362,14392
37362,29497
37364,629
37364,199
37364,37364
37364,23680
37364,23681
37364,24460
37364,200
37366,24323
37366,35073
37366,758
37366,37366
37366,506
37366,507
37368,3085
37368,3087
37368,37368
37370,16997
37370,1295
37370,16957
37370,37370
37372,1289
37372,1710
37372,4035
37372,4036
37372,1301
37372,4004
37372,4005
37372,37372
37372,1704
37374,3001
37374,2787
37374,37374
37374,3553
37376,36170
37376,36249
37376,36148
37376,3524
37376,3522
37376,3523
37376,36370
37376,36496
37376,36380
37376,36419
37376,36416
37376,16977
37376,35827
37376,35826
37376,36288
37376,36527
37376,37376
37376,36390
37376,36391
37376,36401
37376,36217
37376,36435
37376,36430
37378,2868
37378,3611
37378,35825
37378,2044
37378,2042
37378,2043
37378,2040
37378,37378
37378,17277
37380,2052
37380,3838
37380,3839
37380,3841
37380,2410
37380,3840
37380,37380
37380,2566
37380,35831
37380,35832
37382,5575
37382,39048
37382,39047
37382,36417
37382,40689
37382,17610
37382,17613
37382,17614
37382,38644
37382,17623
37382,39300
37382,39301
37382,38147
37382,38146
37382,36427
37382,38355
37382,39247
37382,17592
37382,37382
37384,34159
37384,20732
37384,20737
37384,6718
37384,6719
37384,37384
37384,19831
37386,35629
37386,17425
37386,37386
37388,37708
37388,37709
37388,36371
37388,3181
37388,36411
37388,42442
37388,42441
37388,42539
37388,42519
37388,42304
37388,42305
37388,42306
37388,42307
37388,42308
37388,42309
37388,35460
37388,37699
37388,36133
37388,42423
37388,35788
37388,35789
37388,42543
37388,42507
37388,2356
37388,42538
37388,3960
37388,37697
37388,42537
37388,37696
37388,37698
37388,36456
37388,2403
37388,3870
37388,3871
37388,36298
37388,35459
37388,37388
37392,3627
37392,37392
37392,3593
37392,3596
37392,3594
37392,3559
37392,3558
37394,23036
37394,23185
37394,23066
37394,22163
37394,41599
37394,41600
37394,41601
37394,41779
37394,38162
37394,37394
37394,22252
37394,24713
37394,41788
37394,41679
37394,41674
37394,41781
37394,41780
37394,41783
37394,41782
37394,22189
37396,22134
37396,37396
38643,39781
38643,39784
38643,39779
38643,38643
38643,38674
39260,39260
39260,39215
39260,39217
39260,39218
40581,40865
40581,40864
40581,40822
40581,40581
40581,40823
40581,40875
40582,40876
40582,40819
40582,40867
40582,40866
40582,40868
40582,40582
40582,41046
40582,41047
40582,41048
40582,40820
40583,40871
40583,40872
40583,40818
40583,40815
40583,40583
40583,40878
40584,40877
40584,40870
40584,40869
40584,40816
40584,40817
40584,40584
40584,6105
40584,19872
40640,803
40640,40640
40640,41022
40640,41023
40640,259
40640,254
40640,255
40640,41019
40640,41018
40640,260
41291,41637
41291,41638
41291,41796
41291,41797
41291,41291
41291,41787
41291,41786
41292,42095
41292,6334
41292,41639
41292,41785
41292,41784
41292,41640
41292,41292
41292,41673
41292,41672
